Headline,Publication,Summary,Date
"Apple engineer's family sues Tesla claiming car's autopilot killed him by crashing into barrier;'Mrs Huang lost her husband, and two children lost their father because Tesla is beta-testing its Autopilot software on live drivers'","The Independent (United Kingdom), AMERICAS; Version:2, 659 words",,5/1/2019
"Tesla to raise money after painful 1Q, and Musk is buying in;Tesla to raise money after painful 1Q, and Musk is buying in","Canadian Press, BUSINESS, 460 words",,5/2/2019
"Tesla to raise money after painful 1Q, and Musk is buying in;Tesla to raise money after painful 1Q, and Musk is buying in","Canadian Press, BUSINESS, 460 words",,5/2/2019
"Regulatory update: California Public Utilities Commission; Tesla , has submitted (A1807020) Brief filed by Tesla on 01/25/2019 Conf# 130234","US Official News, 1048 words",,5/2/2019
"Automotive Battery Management Systems Market SWOT and Supply Chain Analysis 2019-2026 by Top Players: DENSO, Preh, Tesla Motors, Ventec, Tesla Motors, Vecture","ReleaseWire, 1462 words",,5/2/2019
"Regulatory update: California Public Utilities Commission;Tesla , has submitted (A1807020) Brief filed by Tesla on 01/25/2019 Conf# 130234 (Certificate Of Service)","US Official News, 1006 words",,5/2/2019
Judge approves Tesla CEO Elon Musk's agreement with SEC;Judge approves Tesla CEO Elon Musk's agreement with SEC,"Canadian Press, BUSINESS,INTERNATIONAL, 124 words",,5/1/2019
"US Military Contract award: Tesla Industries, Inc. DBA Tesla Wins Military Contract worth $8,032.99","Contract Awards-Companies Alert ( CACA), 161 words",,5/4/2019
Family of California man killed in Tesla crash sue automaker;Family of California man killed in Tesla crash sue automaker,"Canadian Press, INTERNATIONAL, 139 words",,5/1/2019
Used Tesla Model 3s Rockin' It 380 Mile Nissan LEAF Tesla Motors = Magic — #CleanTechnica Top 20,"CleanTechnica, 283 words",,5/4/2019
Sparks fly: Inside the strained Tesla-Panasonic relationship,"Nikkei Asian Review (Japan), 2419 words",,5/2/2019
"Tesla Model 3 Demand — Hints, Clues, Questions","CleanTechnica, 2027 words",,5/1/2019
Tesla Model 3 vs. Toyota Camry — 15 Cost Scenarios,"CleanTechnica, 2193 words",,5/4/2019
"Regulatory update: Department of Public Utilities Massachusetts;Tesla , has submitted ( 18-150) Affidavit by Katherine Bell on behalf of Tesla, Inc.","US Official News, 183 words",,5/6/2019
"Regulatory update: Department of Public Utilities Massachusetts; Tesla , has submitted ( 18-150 ) Sur-Rebuttal Testimony of Katherine Bell on behalf of Tesla, Inc.","US Official News, 162 words",,5/6/2019
A Tesla Model S caught fire in a garage in San Francisco (TSLA),"The Business Insider, 1310 words",,5/3/2019
"Tesla Model 3: specs, prices and full details on the all-electric compact exec","evo, 2533 words",,5/1/2019
Tesla Raises $2.4 Billion In Capital; Is The Company Desperate?,"ValueWalk, 1622 words",,5/6/2019
A Tesla Model S caught fire in a garage in San Francisco (TSLA),"Business Insider US, 746 words",,5/3/2019
Fidelity is the latest institutional investor to trim its Tesla stake (TSLA),"The Business Insider, 881 words",,5/2/2019
Musk doubles down on Tesla shares as company raises capital goal,"The Globe and Mail (Canada), REPORT ON BUSINESS; Pg. B2, 860 words",,5/4/2019
Tesla cars can now figure out which parts need to be replaced and order new ones (TSLA),"The Business Insider, 1119 words",,5/7/2019
Tesla Ceo Plans To Hand The Car Keys To Robots Next Year,"Providence Journal, D; Pg. 2, 1169 words",,5/5/2019
Tesla cut the price of the Model 3 in Canada so buyers can get a government tax credit (TSLA),"The Business Insider, 702 words",,5/1/2019
Tesla ends 'Spartan diet' and seeks US$2.3 billion to fund expansion,"Channel NewsAsia, BUSINESS, 987 words",,5/2/2019
Tesla ends 'Spartan diet' and seeks US$2.3 billion to fund expansion,"Channel NewsAsia, BUSINESS, 988 words",,5/2/2019
Tesla Gets Creative For Model 3 Customers In Canada,"CleanTechnica, 877 words",,5/3/2019
Tesla Raises ~$2 Billion,"CleanTechnica, 1228 words",,5/2/2019
Tesla To Boost Solar Rooftop Panel Business By Slashing Prices 40%,"International Business Times News, 669 words",,5/1/2019
The median Tesla employee made 81% more than the median American in 2018 (TSLA),"The Business Insider, 950 words",,5/1/2019
"Billionaire hedge funder David Einhorn blasts Tesla again, calling Elon Musk's comments 'a lot of horse s---' (TSLA)","The Business Insider, 949 words",,5/6/2019
Can You Drive A Tesla Model 3 For $78 Per Month?,"CleanTechnica, 816 words",,5/3/2019
CEO Elon Musk Says Autonomous Driving Tech Will Make Tesla a $500 Billion USD Company,"iPhone in Canada, 414 words",,5/3/2019
Elon Musk owes $507 million to banks helping Tesla raise capital,"Trend News Agency - Central Asia (English), WORLD, 461 words",,5/4/2019
Elon Musk owes $507 million to banks helping Tesla raise capital,"Trend News Agency - Central Asia (English), WORLD, 461 words",,5/3/2019
Elon Musk owes $507 million to banks helping Tesla raise capital,"Trend News Agency - Central Asia (English), WORLD, 461 words",,5/4/2019
